protocol,medium,cc,bandwidth,rtt
QUIC,cellular,BBR,100mbps,96.15199
QUIC,cellular,BBR,100mbps,99.56273
QUIC,cellular,BBR,100mbps,99.64064
QUIC,cellular,BBR,100mbps,102.97262
QUIC,cellular,BBR,100mbps,101.06643
QUIC,cellular,BBR,100mbps,104.88112
QUIC,cellular,BBR,100mbps,108.99963
QUIC,cellular,BBR,100mbps,109.98986
QUIC,cellular,BBR,100mbps,113.13057
QUIC,cellular,BBR,100mbps,110.53546
QUIC,cellular,BBR,100mbps,113.35841
QUIC,cellular,BBR,100mbps,114.647354
QUIC,cellular,BBR,100mbps,116.33506
QUIC,cellular,BBR,100mbps,113.958786
QUIC,cellular,BBR,100mbps,115.24966
QUIC,cellular,BBR,100mbps,115.65943
QUIC,cellular,BBR,100mbps,112.52046
QUIC,cellular,BBR,100mbps,113.941124
QUIC,cellular,BBR,100mbps,110.1299
QUIC,cellular,BBR,100mbps,103.96668
QUIC,cellular,BBR,100mbps,101.901344
QUIC,cellular,BBR,100mbps,100.67043
QUIC,cellular,BBR,100mbps,96.993835
QUIC,cellular,BBR,100mbps,96.287285
QUIC,cellular,BBR,100mbps,92.13082
QUIC,cellular,BBR,100mbps,95.387764
QUIC,cellular,BBR,100mbps,97.13656
QUIC,cellular,BBR,100mbps,91.98933
QUIC,cellular,BBR,100mbps,88.37119
QUIC,cellular,BBR,100mbps,83.45053
QUIC,cellular,BBR,100mbps,87.564415
QUIC,cellular,BBR,100mbps,83.3851
QUIC,cellular,BBR,100mbps,84.60607
QUIC,cellular,BBR,100mbps,86.167656
QUIC,cellular,BBR,100mbps,85.98482
QUIC,cellular,BBR,100mbps,80.8088
QUIC,cellular,BBR,100mbps,77.22394
QUIC,cellular,BBR,100mbps,78.861534
QUIC,cellular,BBR,100mbps,80.7575
QUIC,cellular,BBR,100mbps,82.21765
QUIC,cellular,BBR,100mbps,84.20103
QUIC,cellular,BBR,100mbps,85.15659
QUIC,cellular,BBR,100mbps,81.40565
QUIC,cellular,BBR,100mbps,78.145424
QUIC,cellular,BBR,100mbps,73.10587
QUIC,cellular,BBR,100mbps,68.99643
QUIC,cellular,BBR,100mbps,65.256454
QUIC,cellular,BBR,100mbps,67.56608
QUIC,cellular,BBR,100mbps,69.65048
QUIC,cellular,BBR,100mbps,65.80903
QUIC,cellular,BBR,100mbps,62.703884
QUIC,cellular,BBR,100mbps,62.869385
QUIC,cellular,BBR,100mbps,63.430717
QUIC,cellular,BBR,100mbps,60.53419
QUIC,cellular,BBR,100mbps,63.251926
QUIC,cellular,BBR,100mbps,62.399937
QUIC,cellular,BBR,100mbps,63.0382
QUIC,cellular,BBR,100mbps,67.717445
QUIC,cellular,BBR,100mbps,68.54582
QUIC,cellular,BBR,100mbps,72.37899
QUIC,cellular,BBR,100mbps,76.18519
QUIC,cellular,BBR,100mbps,79.92652
QUIC,cellular,BBR,100mbps,83.08597
QUIC,cellular,BBR,100mbps,82.230156
QUIC,cellular,BBR,100mbps,84.47856
QUIC,cellular,BBR,100mbps,87.32239
QUIC,cellular,BBR,100mbps,86.69495
QUIC,cellular,BBR,100mbps,90.02624
QUIC,cellular,BBR,100mbps,97.131874
QUIC,cellular,BBR,100mbps,95.463615
QUIC,cellular,BBR,100mbps,93.95679
QUIC,cellular,BBR,100mbps,92.94053
QUIC,cellular,BBR,100mbps,98.88522
QUIC,cellular,BBR,100mbps,100.161606
QUIC,cellular,BBR,100mbps,103.53002
QUIC,cellular,BBR,100mbps,107.05468
QUIC,cellular,BBR,100mbps,106.54841
QUIC,cellular,BBR,100mbps,111.73929
QUIC,cellular,BBR,100mbps,115.88265
QUIC,cellular,BBR,100mbps,114.142784
QUIC,cellular,BBR,100mbps,112.51947
QUIC,cellular,BBR,100mbps,114.858116
QUIC,cellular,BBR,100mbps,111.94838
QUIC,cellular,BBR,100mbps,108.621284
QUIC,cellular,BBR,100mbps,111.65959
